x1,x2,Z_value
-0.8125,-1.9375,-1.0
-0.8125,-1.875,-1.0
-0.8125,-1.8125,-1.0
-0.8125,-1.75,-1.0
-0.8125,-1.6875,-1.0
-0.8125,-1.625,-1.0
-0.8125,-1.5625,-1.0
-0.8125,-1.5,-1.0
-0.8125,-1.4375,-1.0
-0.8125,-1.375,-1.0
-0.8125,-1.3125,-1.0
-0.8125,-1.25,-1.0
-0.8125,-1.1875,-1.0
-0.8125,-1.125,-1.0
-0.8125,-1.0625,-1.0
-0.8125,-1.0,-1.0
-0.8125,-0.9375,-1.0
-0.8125,-0.875,-1.0
-0.8125,-0.8125,-1.0
-0.8125,-0.75,-1.0
-0.8125,-0.6875,-1.0
-0.8125,-0.625,-1.0
-0.8125,-0.5625,-1.0
-0.8125,-0.5,-1.0
-0.8125,-0.4375,-1.0
-0.8125,-0.375,-1.0
-0.8125,-0.3125,-1.0
-0.8125,-0.25,-1.0
-0.8125,-0.1875,-1.0
-0.8125,-0.125,-1.0
-0.8125,-0.0625,-1.0
-0.8125,0.0,-1.0
-0.8125,0.0625,-1.0
-0.8125,0.125,-1.0
